meter_no,date,weekday,time,demand_kW,period
07281937401,2024-11-01,4,00:00,17911.67,Off_Peak
07281937401,2024-11-01,4,00:15,17856.5,Off_Peak
07281937401,2024-11-01,4,00:30,18503.3,Off_Peak
07281937401,2024-11-01,4,00:45,19676.62,Off_Peak
07281937401,2024-11-01,4,01:00,20304.7,Off_Peak
07281937401,2024-11-01,4,01:15,20105.94,Off_Peak
07281937401,2024-11-01,4,01:30,20592.74,Off_Peak
07281937401,2024-11-01,4,01:45,21122.67,Off_Peak
07281937401,2024-11-01,4,02:00,20920.2,Off_Peak
07281937401,2024-11-01,4,02:15,20991.61,Off_Peak
07281937401,2024-11-01,4,02:30,20928.84,Off_Peak
07281937401,2024-11-01,4,02:45,21307.71,Off_Peak
07281937401,2024-11-01,4,03:00,20189.3,Off_Peak
07281937401,2024-11-01,4,03:15,19233.1,Off_Peak
07281937401,2024-11-01,4,03:30,19760.55,Off_Peak
07281937401,2024-11-01,4,03:45,20203.6,Off_Peak
07281937401,2024-11-01,4,04:00,19723.9,Off_Peak
07281937401,2024-11-01,4,04:15,20316.59,Off_Peak
07281937401,2024-11-01,4,04:30,20808.76,Off_Peak
07281937401,2024-11-01,4,04:45,20759.25,Off_Peak
07281937401,2024-11-01,4,05:00,21175.38,Off_Peak
07281937401,2024-11-01,4,05:15,21069.62,Off_Peak
07281937401,2024-11-01,4,05:30,20648.51,Off_Peak
07281937401,2024-11-01,4,05:45,20154.98,Off_Peak
07281937401,2024-11-01,4,06:00,20226.86,Half_Peak
07281937401,2024-11-01,4,06:15,20312.95,Half_Peak
07281937401,2024-11-01,4,06:30,19835.68,Half_Peak
07281937401,2024-11-01,4,06:45,20140.97,Half_Peak
07281937401,2024-11-01,4,07:00,20460.7,Half_Peak
07281937401,2024-11-01,4,07:15,20854.18,Half_Peak
07281937401,2024-11-01,4,07:30,20253.16,Half_Peak
07281937401,2024-11-01,4,07:45,21076.53,Half_Peak
07281937401,2024-11-01,4,08:00,20431.49,Half_Peak
07281937401,2024-11-01,4,08:15,20767.4,Half_Peak
07281937401,2024-11-01,4,08:30,20584.12,Half_Peak
07281937401,2024-11-01,4,08:45,21262.44,Half_Peak
07281937401,2024-11-01,4,09:00,21418.52,Half_Peak
07281937401,2024-11-01,4,09:15,22556.24,Half_Peak
07281937401,2024-11-01,4,09:30,21738.12,Half_Peak
07281937401,2024-11-01,4,09:45,21036.07,Half_Peak
07281937401,2024-11-01,4,10:00,21072.43,Half_Peak
07281937401,2024-11-01,4,10:15,21516.5,Half_Peak
07281937401,2024-11-01,4,10:30,20375.57,Half_Peak
07281937401,2024-11-01,4,10:45,20340.48,Half_Peak
07281937401,2024-11-01,4,11:00,19791.13,Off_Peak
07281937401,2024-11-01,4,11:15,19448.38,Off_Peak
07281937401,2024-11-01,4,11:30,18418.54,Off_Peak
07281937401,2024-11-01,4,11:45,18604.0,Off_Peak
07281937401,2024-11-01,4,12:00,19611.82,Off_Peak
07281937401,2024-11-01,4,12:15,19827.07,Off_Peak
07281937401,2024-11-01,4,12:30,20323.47,Off_Peak
07281937401,2024-11-01,4,12:45,20596.46,Off_Peak
07281937401,2024-11-01,4,13:00,21196.11,Off_Peak
07281937401,2024-11-01,4,13:15,21547.7,Off_Peak
07281937401,2024-11-01,4,13:30,21644.55,Off_Peak
07281937401,2024-11-01,4,13:45,20939.66,Off_Peak
07281937401,2024-11-01,4,14:00,21554.88,Half_Peak
07281937401,2024-11-01,4,14:15,20774.51,Half_Peak
07281937401,2024-11-01,4,14:30,20635.77,Half_Peak
07281937401,2024-11-01,4,14:45,21154.11,Half_Peak
07281937401,2024-11-01,4,15:00,21340.75,Half_Peak
07281937401,2024-11-01,4,15:15,21630.58,Half_Peak
07281937401,2024-11-01,4,15:30,21809.17,Half_Peak
07281937401,2024-11-01,4,15:45,21348.13,Half_Peak
07281937401,2024-11-01,4,16:00,20375.83,Half_Peak
07281937401,2024-11-01,4,16:15,20199.13,Half_Peak
07281937401,2024-11-01,4,16:30,20048.73,Half_Peak
07281937401,2024-11-01,4,16:45,19791.67,Half_Peak
07281937401,2024-11-01,4,17:00,18920.8,Half_Peak
07281937401,2024-11-01,4,17:15,19215.57,Half_Peak
07281937401,2024-11-01,4,17:30,19060.03,Half_Peak
07281937401,2024-11-01,4,17:45,18678.5,Half_Peak
07281937401,2024-11-01,4,18:00,19584.05,Half_Peak
07281937401,2024-11-01,4,18:15,19704.06,Half_Peak
07281937401,2024-11-01,4,18:30,19181.21,Half_Peak
07281937401,2024-11-01,4,18:45,18872.33,Half_Peak
07281937401,2024-11-01,4,19:00,19678.04,Half_Peak
07281937401,2024-11-01,4,19:15,19383.31,Half_Peak
07281937401,2024-11-01,4,19:30,19283.04,Half_Peak
07281937401,2024-11-01,4,19:45,20164.74,Half_Peak
07281937401,2024-11-01,4,20:00,21005.39,Half_Peak
07281937401,2024-11-01,4,20:15,19977.11,Half_Peak
07281937401,2024-11-01,4,20:30,19690.81,Half_Peak
07281937401,2024-11-01,4,20:45,19742.77,Half_Peak
07281937401,2024-11-01,4,21:00,19589.92,Half_Peak
07281937401,2024-11-01,4,21:15,18831.95,Half_Peak
07281937401,2024-11-01,4,21:30,19272.03,Half_Peak
07281937401,2024-11-01,4,21:45,19827.65,Half_Peak
07281937401,2024-11-01,4,22:00,20590.49,Half_Peak
07281937401,2024-11-01,4,22:15,20423.15,Half_Peak
07281937401,2024-11-01,4,22:30,20308.78,Half_Peak
07281937401,2024-11-01,4,22:45,20190.27,Half_Peak
07281937401,2024-11-01,4,23:00,20128.59,Half_Peak
07281937401,2024-11-01,4,23:15,20690.5,Half_Peak
07281937401,2024-11-01,4,23:30,21032.73,Half_Peak
07281937401,2024-11-01,4,23:45,21065.91,Half_Peak
07281937401,2024-11-02,5,00:00,20019.31,Off_Peak
