meter_no,date,weekday,time,demand_kW,period
07281937401,2024-04-01,0,00:00,21099.04,Off_Peak
07281937401,2024-04-01,0,00:15,20952.34,Off_Peak
07281937401,2024-04-01,0,00:30,21088.84,Off_Peak
07281937401,2024-04-01,0,00:45,20937.72,Off_Peak
07281937401,2024-04-01,0,01:00,19985.31,Off_Peak
07281937401,2024-04-01,0,01:15,20971.18,Off_Peak
07281937401,2024-04-01,0,01:30,20492.71,Off_Peak
07281937401,2024-04-01,0,01:45,19646.22,Off_Peak
07281937401,2024-04-01,0,02:00,20085.06,Off_Peak
07281937401,2024-04-01,0,02:15,20875.28,Off_Peak
07281937401,2024-04-01,0,02:30,21159.92,Off_Peak
07281937401,2024-04-01,0,02:45,20901.05,Off_Peak
07281937401,2024-04-01,0,03:00,22410.17,Off_Peak
07281937401,2024-04-01,0,03:15,22139.3,Off_Peak
07281937401,2024-04-01,0,03:30,22274.78,Off_Peak
07281937401,2024-04-01,0,03:45,22428.25,Off_Peak
07281937401,2024-04-01,0,04:00,21945.11,Off_Peak
07281937401,2024-04-01,0,04:15,21322.78,Off_Peak
07281937401,2024-04-01,0,04:30,19445.04,Off_Peak
07281937401,2024-04-01,0,04:45,20302.24,Off_Peak
07281937401,2024-04-01,0,05:00,18472.83,Off_Peak
07281937401,2024-04-01,0,05:15,19992.21,Off_Peak
07281937401,2024-04-01,0,05:30,20483.77,Off_Peak
07281937401,2024-04-01,0,05:45,20888.46,Off_Peak
07281937401,2024-04-01,0,06:00,24045.44,Half_Peak
07281937401,2024-04-01,0,06:15,23843.57,Half_Peak
07281937401,2024-04-01,0,06:30,24300.19,Half_Peak
07281937401,2024-04-01,0,06:45,24642.85,Half_Peak
07281937401,2024-04-01,0,07:00,24758.48,Half_Peak
07281937401,2024-04-01,0,07:15,23473.24,Half_Peak
07281937401,2024-04-01,0,07:30,24900.52,Half_Peak
07281937401,2024-04-01,0,07:45,24253.57,Half_Peak
07281937401,2024-04-01,0,08:00,22607.67,Half_Peak
07281937401,2024-04-01,0,08:15,22550.19,Half_Peak
07281937401,2024-04-01,0,08:30,22882.25,Half_Peak
07281937401,2024-04-01,0,08:45,21422.68,Half_Peak
07281937401,2024-04-01,0,09:00,22130.3,Half_Peak
07281937401,2024-04-01,0,09:15,22331.35,Half_Peak
07281937401,2024-04-01,0,09:30,21846.61,Half_Peak
07281937401,2024-04-01,0,09:45,22923.24,Half_Peak
07281937401,2024-04-01,0,10:00,23771.16,Half_Peak
07281937401,2024-04-01,0,10:15,22862.11,Half_Peak
07281937401,2024-04-01,0,10:30,23519.38,Half_Peak
07281937401,2024-04-01,0,10:45,25574.75,Half_Peak
07281937401,2024-04-01,0,11:00,20968.47,Off_Peak
07281937401,2024-04-01,0,11:15,21733.29,Off_Peak
07281937401,2024-04-01,0,11:30,21666.48,Off_Peak
07281937401,2024-04-01,0,11:45,20622.87,Off_Peak
07281937401,2024-04-01,0,12:00,19922.49,Off_Peak
07281937401,2024-04-01,0,12:15,19555.93,Off_Peak
07281937401,2024-04-01,0,12:30,18433.95,Off_Peak
07281937401,2024-04-01,0,12:45,19409.06,Off_Peak
07281937401,2024-04-01,0,13:00,18844.73,Off_Peak
07281937401,2024-04-01,0,13:15,18454.2,Off_Peak
07281937401,2024-04-01,0,13:30,20305.67,Off_Peak
07281937401,2024-04-01,0,13:45,20449.47,Off_Peak
07281937401,2024-04-01,0,14:00,22039.06,Half_Peak
07281937401,2024-04-01,0,14:15,23924.17,Half_Peak
07281937401,2024-04-01,0,14:30,23249.94,Half_Peak
07281937401,2024-04-01,0,14:45,22156.21,Half_Peak
07281937401,2024-04-01,0,15:00,30126.34,Half_Peak
07281937401,2024-04-01,0,15:15,24084.16,Half_Peak
07281937401,2024-04-01,0,15:30,23868.56,Half_Peak
07281937401,2024-04-01,0,15:45,23615.47,Half_Peak
07281937401,2024-04-01,0,16:00,23205.28,Half_Peak
07281937401,2024-04-01,0,16:15,22472.35,Half_Peak
07281937401,2024-04-01,0,16:30,20605.37,Half_Peak
07281937401,2024-04-01,0,16:45,19126.53,Half_Peak
07281937401,2024-04-01,0,17:00,19768.49,Half_Peak
07281937401,2024-04-01,0,17:15,19263.68,Half_Peak
07281937401,2024-04-01,0,17:30,19823.8,Half_Peak
07281937401,2024-04-01,0,17:45,19923.09,Half_Peak
07281937401,2024-04-01,0,18:00,19853.56,Half_Peak
