meter_no,date,weekday,time,demand_kW,period
07281937401,2024-05-01,2,00:00,19227.62,Off_Peak
07281937401,2024-05-01,2,00:15,19700.66,Off_Peak
07281937401,2024-05-01,2,00:30,20797.8,Off_Peak
07281937401,2024-05-01,2,00:45,20276.97,Off_Peak
07281937401,2024-05-01,2,01:00,20584.79,Off_Peak
07281937401,2024-05-01,2,01:15,20989.69,Off_Peak
07281937401,2024-05-01,2,01:30,21394.18,Off_Peak
07281937401,2024-05-01,2,01:45,20951.36,Off_Peak
07281937401,2024-05-01,2,02:00,21698.97,Off_Peak
07281937401,2024-05-01,2,02:15,22033.93,Off_Peak
07281937401,2024-05-01,2,02:30,22617.26,Off_Peak
07281937401,2024-05-01,2,02:45,23134.41,Off_Peak
07281937401,2024-05-01,2,03:00,22163.91,Off_Peak
07281937401,2024-05-01,2,03:15,22656.98,Off_Peak
07281937401,2024-05-01,2,03:30,21819.2,Off_Peak
07281937401,2024-05-01,2,03:45,21980.1,Off_Peak
07281937401,2024-05-01,2,04:00,20775.54,Off_Peak
07281937401,2024-05-01,2,04:15,21239.44,Off_Peak
07281937401,2024-05-01,2,04:30,20981.58,Off_Peak
07281937401,2024-05-01,2,04:45,22516.93,Off_Peak
07281937401,2024-05-01,2,05:00,22454.51,Off_Peak
07281937401,2024-05-01,2,05:15,23785.62,Off_Peak
07281937401,2024-05-01,2,05:30,23262.05,Off_Peak
07281937401,2024-05-01,2,05:45,23909.2,Off_Peak
07281937401,2024-05-01,2,06:00,20210.61,Half_Peak
07281937401,2024-05-01,2,06:15,20210.28,Half_Peak
07281937401,2024-05-01,2,06:30,20171.07,Half_Peak
07281937401,2024-05-01,2,06:45,20845.78,Half_Peak
07281937401,2024-05-01,2,07:00,19814.82,Half_Peak
07281937401,2024-05-01,2,07:15,19538.17,Half_Peak
07281937401,2024-05-01,2,07:30,18795.99,Half_Peak
07281937401,2024-05-01,2,07:45,18640.57,Half_Peak
07281937401,2024-05-01,2,08:00,18952.25,Half_Peak
07281937401,2024-05-01,2,08:15,18965.37,Half_Peak
07281937401,2024-05-01,2,08:30,20228.09,Half_Peak
07281937401,2024-05-01,2,08:45,21241.45,Half_Peak
07281937401,2024-05-01,2,09:00,19672.15,Half_Peak
07281937401,2024-05-01,2,09:15,19322.32,Half_Peak
07281937401,2024-05-01,2,09:30,18864.2,Half_Peak
07281937401,2024-05-01,2,09:45,17180.64,Half_Peak
